number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
74,0.263666667,8.404678379,03:51.6,04:17.4,0 days 00:00:25.790011,,,0.5,0.9,5,0.99,,FALSE,FALSE,0.3,,1,FALSE,,,,,,,,,TRUE,0.3,1,COMPLETE
40,0.237,11.830519,46:13.7,46:49.8,0 days 00:00:36.093051,fpgm,FALSE,,0.4,6,0.9,,,FALSE,0.25,,5,TRUE,3,FALSE,,2,TRUE,0.55,5,base,TRUE,0.25,0,COMPLETE
50,0.203,8.607654227,51:35.9,52:02.3,0 days 00:00:26.417199,,,0.2,0.25,5,0.995,,TRUE,FALSE,0.15,,0,FALSE,,,,,,,,,TRUE,0.45,1,COMPLETE
49,0.188,12.28228245,50:58.4,51:35.8,0 days 00:00:37.448372,fpgm,FALSE,,0.5,6,0.9,,,FALSE,0.2,,0,TRUE,2,FALSE,,1,TRUE,0.55,4,base,TRUE,0,0,COMPLETE
15,0.180333333,8.632681728,33:30.0,33:56.5,0 days 00:00:26.486554,,,0.6,0.75,6,0.9,,TRUE,TRUE,0.3,0.1,0,FALSE,,,,,,,,,FALSE,,0,COMPLETE
37,0.176333333,11.89435306,44:45.1,45:21.4,0 days 00:00:36.312529,group,TRUE,,0,6,0.995,,,FALSE,0.25,,4,TRUE,2,FALSE,,4,TRUE,0.65,1,base,FALSE,,0,COMPLETE
79,0.174333333,8.918557697,06:04.7,06:32.0,0 days 00:00:27.342809,,,0.3,0.55,6,0.995,,TRUE,TRUE,0.2,0.35,0,FALSE,,,,,,,,,TRUE,0.05,1,COMPLETE
39,0.169666667,8.486441344,45:47.7,46:13.7,0 days 00:00:25.995941,,,0.5,0.55,6,0.99,,TRUE,FALSE,0.2,,0,FALSE,,,,,,,,,FALSE,,0,COMPLETE
76,0.168666667,8.697069219,04:44.0,05:10.6,0 days 00:00:26.673738,,,0.35,0.55,6,0.99,,TRUE,FALSE,0.2,,0,FALSE,,,,,,,,,TRUE,0.2,1,COMPLETE
32,0.162,10.02023269,42:15.6,42:46.3,0 days 00:00:30.675868,lamp,FALSE,0.25,0.25,5,0.99,,FALSE,FALSE,0,,0,TRUE,3,TRUE,0.3,3,FALSE,0.85,1,group,FALSE,,0,COMPLETE
89,0.151666667,12.09631003,10:42.9,11:19.8,0 days 00:00:36.914890,lamp,TRUE,,0.25,5,0.995,,,FALSE,0.25,,0,TRUE,4,FALSE,,5,TRUE,0.8,5,base,TRUE,0.05,1,COMPLETE
