number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
95,0.7564563023772876,0.5,2025-05-17 16:20:48.932310,2025-05-17 16:21:36.321550,0 days 00:00:47.389240,cwd,False,1.75,1,COMPLETE,0.5,0.99,0.99,0.0003443146861782667,0.007629483920667719,4.5,0.75,0.0,True,120.0,0.1
50,0.7491021036428939,0.7,2025-05-17 15:44:57.785851,2025-05-17 15:46:46.980708,0 days 00:01:49.194857,cwd,False,3.25,1,COMPLETE,0.7,0.8,0.8,0.0005359376933555188,0.007629483920667719,5.0,3.25,0.0,True,150.0,0.05
41,0.748532010717747,0.7,2025-05-17 15:31:23.769971,2025-05-17 15:32:38.933039,0 days 00:01:15.163068,cwd,True,2.0,0,COMPLETE,0.7,0.995,0.995,0.0012208055212495983,0.005552288578671382,2.75,3.5,0.05,True,90.0,0.15000000000000002
60,0.7478478992075708,0.6,2025-05-17 15:54:35.358028,2025-05-17 15:55:20.789999,0 days 00:00:45.431971,mse,True,,1,COMPLETE,0.6,0.9,0.9,0.00020644297355122294,0.007125952186054664,1.25,2.75,0.05,False,,0.1
100,0.746935750527336,0.5,2025-05-17 16:24:36.682774,2025-05-17 16:25:24.454671,0 days 00:00:47.771897,cwd,True,4.75,2,COMPLETE,0.5,0.9,0.9,0.0002512414995943113,0.019830516663637672,4.5,3.0,0.1,False,,0.2
89,0.7464226668947038,0.6,2025-05-17 16:16:13.277372,2025-05-17 16:16:56.979873,0 days 00:00:43.702501,cwd,False,4.5,1,COMPLETE,0.6,0.99,0.99,0.0004257030612518699,0.011208121137240604,0.5,0.5,0.15,True,150.0,0.1
73,0.7457955646770423,0.7,2025-05-17 16:04:36.976766,2025-05-17 16:05:20.309727,0 days 00:00:43.332961,mse,False,,1,COMPLETE,0.7,0.99,0.99,0.00018361867560273028,0.007629483920667719,2.25,1.75,0.1,True,120.0,0.15000000000000002
115,0.7453964996294395,0.7,2025-05-17 16:36:16.022917,2025-05-17 16:36:57.727008,0 days 00:00:41.704091,mse,False,,2,COMPLETE,0.7,0.99,0.99,0.0025952839491545083,0.007629483920667719,4.5,0.75,0.05,False,,0.15000000000000002
56,0.7441422951941167,0.6,2025-05-17 15:51:27.792817,2025-05-17 15:52:15.544844,0 days 00:00:47.752027,cwd,True,4.75,1,COMPLETE,0.6,0.9,0.9,0.0002512414995943113,1.07906581043804e-05,0.5,0.5,0.15,True,60.0,0.2
83,0.7440282766090873,0.7,2025-05-17 16:11:53.032935,2025-05-17 16:12:34.468249,0 days 00:00:41.435314,mse,False,,1,COMPLETE,0.7,0.99,0.99,0.0004257030612518699,0.011208121137240604,4.5,3.25,0.15,False,,0.2
