number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
104,0.8115468409586057,0.7,2025-05-17 08:01:28.685571,2025-05-17 08:02:32.688971,0 days 00:01:04.003400,mse,False,,2,COMPLETE,0.7,0.995,0.995,8.002187433711855e-05,9.481934365284815e-05,1.25,2.25,0.05,False,,0.05
2,0.8093681917211328,0.5,2025-05-17 06:04:12.019696,2025-05-17 06:06:07.796704,0 days 00:01:55.777008,cwd,True,4.0,0,COMPLETE,0.5,0.995,0.995,4.727930166443003e-05,1.551874947721572e-05,1.75,1.0,0.15,True,30.0,0.25
68,0.8089324618736384,0.7,2025-05-17 07:20:28.819815,2025-05-17 07:21:40.391890,0 days 00:01:11.572075,cwd,False,4.75,1,COMPLETE,0.7,0.99,0.99,0.00011077644927529004,6.261950262743797e-05,2.0,4.5,0.15,True,30.0,0.25
18,0.8071895424836603,0.7,2025-05-17 06:23:49.717634,2025-05-17 06:25:01.079184,0 days 00:01:11.361550,cwd,False,1.75,0,COMPLETE,0.7,0.995,0.995,3.056267740538177e-05,0.00015928389070469698,2.75,2.5,0.05,True,90.0,0.3
101,0.8034858387799564,0.6,2025-05-17 07:57:54.215831,2025-05-17 07:59:06.391647,0 days 00:01:12.175816,cwd,False,0.75,2,COMPLETE,0.6,0.995,0.995,0.00016101928679137275,0.00012676940398079943,4.0,0.75,0.05,False,,0.3
108,0.8028322440087146,0.6,2025-05-17 08:05:46.761124,2025-05-17 08:06:58.532480,0 days 00:01:11.771356,cwd,True,3.0,2,COMPLETE,0.6,0.995,0.995,8.002187433711855e-05,1.5315335231041133e-05,1.75,2.75,0.05,False,,0.2
92,0.8004357298474946,0.7,2025-05-17 07:48:00.348953,2025-05-17 07:49:04.517077,0 days 00:01:04.168124,mse,False,,1,COMPLETE,0.7,0.99,0.99,8.002187433711855e-05,5.786420185990948e-05,1.5,4.0,0.05,False,,0.2
26,0.8002178649237472,0.7,2025-05-17 06:33:18.203894,2025-05-17 06:34:23.500361,0 days 00:01:05.296467,mse,True,,0,COMPLETE,0.7,0.9,0.9,0.00028903168986318077,3.328352859596495e-05,3.75,0.25,0.15,True,30.0,0.3
98,0.7782135076252724,0.7,2025-05-17 07:54:40.032701,2025-05-17 07:55:44.276825,0 days 00:01:04.244124,mse,False,,1,COMPLETE,0.7,0.995,0.995,8.002187433711855e-05,5.786420185990948e-05,4.75,4.0,0.1,False,,0.2
110,0.7755991285403049,0.6,2025-05-17 08:08:03.466146,2025-05-17 08:09:15.872787,0 days 00:01:12.406641,cwd,True,4.75,2,COMPLETE,0.6,0.99,0.99,0.00017639328559865047,0.001114724198715863,1.75,4.0,0.0,True,30.0,0.15000000000000002
96,0.7623093681917211,0.7,2025-05-17 07:52:30.731594,2025-05-17 07:53:35.346583,0 days 00:01:04.614989,mse,False,,1,COMPLETE,0.7,0.995,0.995,0.00017639328559865047,0.001114724198715863,0.75,4.0,0.1,True,30.0,0.2
113,0.7566448801742919,0.6,2025-05-17 08:11:37.279399,2025-05-17 08:12:49.491009,0 days 00:01:12.211610,cwd,True,1.5,2,COMPLETE,0.6,0.995,0.995,4.954516879428417e-05,3.348733027382839e-05,4.5,2.75,0.05,False,,0.2
82,0.7461873638344226,0.7,2025-05-17 07:36:41.004570,2025-05-17 07:37:45.346928,0 days 00:01:04.342358,mse,False,,1,COMPLETE,0.7,0.995,0.995,8.002187433711855e-05,1.5315335231041133e-05,3.0,2.75,0.05,True,30.0,0.2
9,0.7433551198257081,0.7,2025-05-17 06:13:48.117312,2025-05-17 06:14:52.593405,0 days 00:01:04.476093,mse,False,,0,COMPLETE,0.7,0.9,0.9,4.4161191753405166e-05,0.00045273839051068943,0.25,1.25,0.0,True,90.0,0.1
36,0.7398692810457517,0.7,2025-05-17 06:44:35.264316,2025-05-17 06:45:41.027259,0 days 00:01:05.762943,mse,True,,0,COMPLETE,0.7,0.9,0.9,0.0008543345414151745,0.002799407852301356,1.75,1.0,0.1,True,150.0,0.25
48,0.7263616557734206,0.7,2025-05-17 06:58:02.082860,2025-05-17 06:59:12.557144,0 days 00:01:10.474284,cwd,False,1.5,0,COMPLETE,0.7,0.9,0.9,1.0833995442262744e-05,0.0007369834089811242,2.25,4.25,0.0,True,120.0,0.1
71,0.7156862745098039,0.7,2025-05-17 07:23:52.280740,2025-05-17 07:24:56.248887,0 days 00:01:03.968147,mse,False,,1,COMPLETE,0.7,0.995,0.995,2.267195074499025e-05,0.4382840687721263,1.75,4.75,0.0,False,,0.3
122,0.7139433551198257,0.7,2025-05-17 08:21:50.181230,2025-05-17 08:22:53.588620,0 days 00:01:03.407390,mse,False,,2,COMPLETE,0.7,0.8,0.8,8.407751472871724e-05,0.2198469978520902,2.0,4.0,0.05,True,30.0,0.2
78,0.7139433551198257,0.7,2025-05-17 07:32:00.631062,2025-05-17 07:33:04.413843,0 days 00:01:03.782781,mse,False,,1,COMPLETE,0.7,0.9,0.9,8.002187433711855e-05,0.5416180617668557,2.25,4.0,0.0,True,30.0,0.3
39,0.7137254901960784,0.7,2025-05-17 06:48:01.067063,2025-05-17 06:49:04.402442,0 days 00:01:03.335379,mse,False,,0,COMPLETE,0.7,0.995,0.995,8.002187433711855e-05,0.5416180617668557,1.75,4.0,0.05,True,90.0,0.2
80,0.7130718954248366,0.7,2025-05-17 07:34:17.674629,2025-05-17 07:35:28.859218,0 days 00:01:11.184589,cwd,False,4.25,1,COMPLETE,0.7,0.995,0.995,1.7361851302472318e-05,0.0015944974403044629,0.75,4.25,0.0,False,,0.15000000000000002
35,0.7115468409586057,0.7,2025-05-17 06:43:31.212917,2025-05-17 06:44:35.242080,0 days 00:01:04.029163,mse,False,,0,COMPLETE,0.7,0.8,0.8,0.0006637627741079424,0.005287421782543972,5.0,5.0,0.1,False,,0.3
