number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_lr,params_mpp_lr,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,params_weight_decay,system_attrs_NSGAIISampler:generation,state
25,0.9536532170119957,0.9423845874227554,2025-05-07 04:36:31.384784,2025-05-07 04:39:19.307869,0 days 00:02:47.923085,group,False,0.25,0.4,0.0005314248900894629,0.9,layer,True,False,0.25,,0.009682404766704277,0.008865551929363545,1.1642743427609234e-05,True,0.2,1.0892002434635337e-05,False,0.7999999999999999,3,group,False,,0.000777337323058955,0,COMPLETE
26,0.9561977462740822,0.942657215557979,2025-05-07 04:39:19.329581,2025-05-07 04:41:43.234692,0 days 00:02:23.905111,group,False,0.5,0.5,0.0008255841439502921,0.99,layer,False,True,0.05,0.4,0.0010486648073056931,0.0022001157019900888,1.427931834155834e-05,False,,0.5016590271239284,False,0.7999999999999999,2,base,True,0.5,0.003944122728304339,0,COMPLETE
27,0.9262995274445656,0.72546346782988,2025-05-07 04:41:43.259558,2025-05-07 04:44:31.232560,0 days 00:02:47.973002,fpgm,False,,0.1,0.005766457967520233,0.8,,,True,0.3,0.15000000000000002,0.00017694720021407755,5.1320784028097344e-05,0.0023339936915648257,False,,0.23474494075573363,True,0.7999999999999999,3,base,False,,0.09245438894351161,0,COMPLETE
28,0.955288985823337,0.9409305707015632,2025-05-07 04:44:31.258033,2025-05-07 04:47:03.401616,0 days 00:02:32.143583,lamp,True,0.15000000000000002,0.2,0.00035197869670829275,0.99,layer,True,True,0.1,0.45,0.0003847246682478006,0.0013951749669731763,0.003913156219223261,True,0.05,0.0002900707225443017,False,0.8999999999999999,1,group,False,,0.0016575769150108844,0,COMPLETE
29,0.9505634314794621,0.9434750999636495,2025-05-07 04:47:03.425002,2025-05-07 04:49:43.931712,0 days 00:02:40.506710,lamp,False,0.30000000000000004,0.5,0.001086904929290907,0.9,batch,True,False,0.05,,2.636382686716318e-05,0.001405386241385563,0.0015338028741823206,True,0.45,1.638175550189804e-05,False,0.7999999999999999,2,bnscale,False,,0.0031885252208065807,0,COMPLETE
30,0.9353871319520174,0.9306615776081425,2025-05-07 04:49:43.953176,2025-05-07 04:52:03.962512,0 days 00:02:20.009336,fpgm,False,,0.2,0.00040542053825898803,0.8,,,False,0.3,,0.0047665718196158394,2.2607457455291094e-05,0.002261448714247936,False,,0.0004144768050633952,True,0.8999999999999999,1,group,False,,7.394389265494007e-05,0,COMPLETE
31,0.8646855688840421,0.9437477280988732,2025-05-07 04:52:03.983432,2025-05-07 04:54:17.635146,0 days 00:02:13.651714,group,False,0.4,0.9,0.0005409121760056357,0.995,batch,False,True,0.0,0.1,0.25090146667416463,0.0040512291991694534,0.0014828021175756075,False,,3.420129164460875e-05,False,0.7999999999999999,1,group,True,0.05,1.302607764353242e-05,0,COMPLETE
32,0.3426026899309342,0.886041439476554,2025-05-07 04:54:17.657295,2025-05-07 04:56:48.838114,0 days 00:02:31.180819,lamp,False,0.55,0.9,1.0394832663389318e-05,0.995,,False,False,0.3,,0.00015477134048816417,0.0004182554885296366,1.6320955059867962e-05,True,0.2,0.22222894490594278,False,0.7,1,group,True,0.4,0.5177100235647224,0,COMPLETE
33,0.8948564158487823,0.9433842239185751,2025-05-07 04:56:48.862368,2025-05-07 04:59:14.690398,0 days 00:02:25.828030,group,True,0.55,0.5,0.007393784255397785,0.995,,False,True,0.2,0.45,0.0005253209966076575,0.003390760788166217,0.00039917525675703245,False,,3.0033189816488443e-05,False,0.7999999999999999,3,base,True,0.30000000000000004,0.0011217893447614392,0,COMPLETE
34,0.9367502726281353,0.8424209378407852,2025-05-07 04:59:14.712331,2025-05-07 05:01:41.718389,0 days 00:02:27.006058,lamp,False,,0.5,0.0009621447460924636,0.99,,,False,0.25,,0.0011383004824145559,8.139778652741012e-05,0.003033698331582024,False,,0.06648927245785241,True,0.8999999999999999,2,base,True,0.15000000000000002,0.6512139455639705,0,COMPLETE
35,0.9317520901490367,0.8455107233733189,2025-05-07 05:01:41.739281,2025-05-07 05:04:22.749491,0 days 00:02:41.010210,lamp,True,0.8,0.5,0.00019130471615050912,0.99,batch,True,True,0.1,0.4,0.021523814284295673,0.0011349339112177686,0.0021054019215629377,True,0.05,0.4336230461633338,False,0.7999999999999999,2,group,True,0.25,0.42995563876994514,0,COMPLETE
36,0.8129770992366412,0.9373864049436569,2025-05-07 05:04:22.773619,2025-05-07 05:06:48.851161,0 days 00:02:26.077542,fpgm,True,,0.6,0.0020145801360438786,0.99,,,False,0.3,,0.08109287888701089,0.005776622365612826,0.0012019538435195261,False,,0.00017993858901931673,True,0.8999999999999999,2,base,True,0.35000000000000003,1.063503336496911e-05,0,COMPLETE
37,0.9190294438386042,0.5675209014903672,2025-05-07 05:06:48.872779,2025-05-07 05:09:27.539907,0 days 00:02:38.667128,fpgm,False,,0.5,0.00019164413071996454,0.99,,,True,0.05,0.25,0.5345692338809658,0.0018416140004243577,1.1120792674444516e-05,True,0.45,0.00027350494321933054,True,0.7,1,bnscale,False,,0.31961954597697995,0,COMPLETE
38,0.9334787350054525,0.8558705925118139,2025-05-07 05:09:27.563897,2025-05-07 05:11:51.814127,0 days 00:02:24.250230,group,True,,0.4,5.461194037224958e-05,0.9,,,True,0.2,0.15000000000000002,0.00035309765011084333,1.3584608042721568e-05,0.004993505833714923,False,,2.0659030597146714e-05,True,0.7999999999999999,1,bnscale,False,,0.654267980460917,0,COMPLETE
39,0.9581061432206471,0.9425663395129044,2025-05-07 05:11:51.835469,2025-05-07 05:14:19.640027,0 days 00:02:27.804558,group,True,,0.9,0.0007823080164489361,0.99,,,False,0.1,,0.001549193963887577,3.746500256884944e-05,0.0006630702884320486,False,,2.2941928585237643e-05,True,0.7999999999999999,2,base,False,,0.00041726133939488426,0,COMPLETE
40,0.9150308978553253,0.9450199927299164,2025-05-07 05:14:19.661039,2025-05-07 05:17:13.846108,0 days 00:02:54.185069,fpgm,False,0.7000000000000001,0.4,0.0010334494526840028,0.9,,True,True,0.05,0.05,0.00043942902597610096,0.0011715639578781692,1.942164884206245e-05,True,0.35000000000000003,0.0008766513615942525,False,0.7,2,group,True,0.45,0.002178190561647153,0,COMPLETE
41,0.8655943293347873,0.9264812795347147,2025-05-07 05:17:13.869248,2025-05-07 05:19:46.635381,0 days 00:02:32.766133,fpgm,False,,0.5,0.004644707882562093,0.8,,,True,0.3,0.25,0.15970420283807865,3.6530144644713746e-05,4.23373833180836e-05,True,0.25,0.922301326259863,True,0.8999999999999999,3,base,False,,0.20075577826112373,0,COMPLETE
42,0.923391494002181,0.9441112322791713,2025-05-07 05:19:46.658513,2025-05-07 05:22:22.903184,0 days 00:02:36.244671,lamp,True,0.6,0.5,0.00880593137840017,0.9,batch,True,False,0.05,,0.033194482460580335,0.0017232211699212089,1.0427282863157648e-05,False,,0.08890827885303305,False,0.7999999999999999,1,group,False,,0.0006467629165880778,0,COMPLETE
43,0.6501272264631043,0.9408396946564886,2025-05-07 05:22:22.926983,2025-05-07 05:25:16.229471,0 days 00:02:53.302488,group,False,0.8,0.5,4.787504466067963e-05,0.9,,True,True,0.25,0.5,3.758515137790037e-05,0.003933912165571096,4.6502532181230504e-05,True,0.2,1.1064735805379834e-05,False,0.7,2,bnscale,True,0.05,0.004546529631593033,0,COMPLETE
44,0.9413849509269356,0.9412031988367865,2025-05-07 05:25:16.251106,2025-05-07 05:27:52.489137,0 days 00:02:36.238031,lamp,False,,0.30000000000000004,0.0002951723135461657,0.9,,,True,0.05,0.35000000000000003,0.03475312364792154,0.0010941067133859658,7.440577900128453e-05,True,0.1,0.49689706266016237,True,0.8999999999999999,3,bnscale,False,,0.0010511920782767315,0,COMPLETE
45,0.9538349691021447,0.9376590330788804,2025-05-07 05:27:52.511550,2025-05-07 05:30:15.444726,0 days 00:02:22.933176,lamp,False,,0.4,0.0013025699731041044,0.9,,,True,0.15000000000000002,0.35000000000000003,0.0005945446686144185,1.620672856977081e-05,0.0003904291968684268,False,,0.7554608738310938,True,0.8999999999999999,1,group,False,,0.0006484862990363244,0,COMPLETE
46,0.22737186477644497,0.8868593238822245,2025-05-07 05:30:15.466380,2025-05-07 05:32:57.780940,0 days 00:02:42.314560,fpgm,False,0.8,0.9,0.0056836247604793,0.99,,True,False,0.15000000000000002,,0.015330813844048372,1.243692845780976e-05,0.00022113119333654998,True,0.0,1.0149442691612073e-05,False,0.7999999999999999,3,base,False,,0.4353284192797107,0,COMPLETE
47,0.31979280261723014,0.9433842239185749,2025-05-07 05:32:57.803532,2025-05-07 05:35:38.224278,0 days 00:02:40.420746,lamp,False,0.5,0.30000000000000004,5.6929893397598105e-05,0.9,,False,False,0.3,,0.012723676909865651,2.1324225268138047e-05,1.5146694580183068e-05,True,0.2,0.00013463084756543147,False,0.7,3,bnscale,False,,1.4353004930508628e-05,0,COMPLETE
48,0.9042166484914577,0.9152126499454744,2025-05-07 05:35:38.246282,2025-05-07 05:38:03.627678,0 days 00:02:25.381396,fpgm,False,,0.30000000000000004,0.0003976200647190032,0.8,,,True,0.0,0.2,0.27178559724949863,1.8420663369026976e-05,2.82482935295639e-05,True,0.5,0.10130398850485853,True,0.7999999999999999,2,group,True,0.5,0.1268788969927398,0,COMPLETE
49,0.9394765539803708,0.7777171937477281,2025-05-07 05:38:03.649090,2025-05-07 05:40:42.392479,0 days 00:02:38.743389,fpgm,False,0.65,0.8,0.0006244323624493025,0.99,layer,False,True,0.1,0.4,0.012616356983563571,0.00026201051020526174,0.0017015007598818524,False,,0.36338111775616394,False,0.7999999999999999,3,bnscale,True,0.4,0.6110653928487192,0,COMPLETE
50,0.9445656125045439,0.9352053798618685,2025-05-07 05:40:42.417458,2025-05-07 05:43:10.212864,0 days 00:02:27.795406,lamp,True,,0.6,3.9103593268371775e-05,0.9,,,True,0.25,0.1,0.033194482460580335,0.0017232211699212089,1.0427282863157648e-05,False,,0.08890827885303305,True,0.7999999999999999,1,group,True,0.2,0.021799063316397256,1,COMPLETE
51,0.9292075608869502,0.9415667030170848,2025-05-07 05:43:10.236383,2025-05-07 05:46:07.850365,0 days 00:02:57.613982,fpgm,True,0.7000000000000001,0.8,0.0032198894775623986,0.8,batch,True,False,0.25,,0.051777300437736824,0.007924418678376332,4.6502532181230504e-05,False,,0.2536715541080339,False,0.7,2,bnscale,True,0.1,0.004546529631593033,1,COMPLETE
52,0.9573791348600508,0.9424754634678298,2025-05-07 05:46:07.873742,2025-05-07 05:48:31.415426,0 days 00:02:23.541684,lamp,False,0.15000000000000002,0.5,0.0008255841439502921,0.99,layer,False,True,0.05,0.25,0.0005469137426431943,0.0010941067133859658,1.427931834155834e-05,False,,0.49689706266016237,False,0.8999999999999999,3,bnscale,True,0.05,0.003944122728304339,1,COMPLETE
53,0.9495637949836423,0.9417484551072337,2025-05-07 05:48:31.440840,2025-05-07 05:50:52.594933,0 days 00:02:21.154093,group,True,0.5,0.4,4.787504466067963e-05,0.99,layer,False,True,0.05,0.25,0.015708191598901324,2.129603347272809e-05,0.000325607394703577,True,0.35000000000000003,0.05271696034937954,False,0.7999999999999999,2,group,True,0.4,3.6920773301670025e-05,1,COMPLETE
54,0.9451108687749911,0.9379316612141041,2025-05-07 05:50:52.618202,2025-05-07 05:53:17.573621,0 days 00:02:24.955419,fpgm,True,,0.6,0.0005505888514601139,0.9,,,True,0.25,0.2,0.033194482460580335,0.0017232211699212089,1.0427282863157648e-05,False,,0.08890827885303305,True,0.7999999999999999,1,group,True,0.30000000000000004,0.021799063316397256,1,COMPLETE
55,0.8840421664849146,0.9097600872410032,2025-05-07 05:53:17.594082,2025-05-07 05:55:49.884306,0 days 00:02:32.290224,group,True,,0.1,0.000376659791826702,0.8,,,True,0.1,0.1,0.006618643502469511,0.005688432124062522,0.0004216217432396529,False,,0.001686865318044768,True,0.7999999999999999,2,group,True,0.1,0.021799063316397256,1,COMPLETE
56,0.6116866593965831,0.923391494002181,2025-05-07 05:55:49.906417,2025-05-07 05:58:25.274457,0 days 00:02:35.368040,fpgm,False,,0.5,0.004644707882562093,0.9,,,False,0.05,,0.15970420283807865,3.6530144644713746e-05,0.0015338028741823206,True,0.15000000000000002,1.638175550189804e-05,True,0.7999999999999999,3,base,False,,0.20075577826112373,1,COMPLETE
57,0.9515630679752817,0.9389312977099237,2025-05-07 05:58:25.298788,2025-05-07 06:01:07.491174,0 days 00:02:42.192386,fpgm,False,0.25,0.9,0.007469303005746991,0.995,layer,True,False,0.1,,0.0014019938206909584,0.0005442697417696576,0.0003379899745840217,False,,4.652516005541682e-05,False,0.8999999999999999,3,group,False,,8.756984826145542e-05,1,COMPLETE
58,0.9562886223191566,0.9425663395129044,2025-05-07 06:01:07.512529,2025-05-07 06:03:35.348875,0 days 00:02:27.836346,group,True,,0.9,0.0007823080164489361,0.99,,,False,0.1,,0.001549193963887577,3.746500256884944e-05,0.0006630702884320486,False,,2.2941928585237643e-05,True,0.7999999999999999,2,base,False,,0.00041726133939488426,1,COMPLETE
59,0.863776808433297,0.9449291166848418,2025-05-07 06:03:35.370502,2025-05-07 06:06:09.360845,0 days 00:02:33.990343,fpgm,False,,0.1,0.004326172797366964,0.995,,,True,0.1,0.30000000000000004,0.2361412834140158,0.0034638789194280746,0.0003379899745840217,False,,4.652516005541682e-05,True,0.7999999999999999,3,bnscale,False,,1.796000212070025e-05,1,COMPLETE
60,0.958469647400945,0.9424754634678298,2025-05-07 06:06:09.382266,2025-05-07 06:08:42.690996,0 days 00:02:33.308730,group,False,0.5,0.9,0.0005409121760056357,0.99,layer,True,True,0.0,0.2,1.061763532103298e-05,0.0040512291991694534,0.0014828021175756075,False,,0.0011182408594745822,False,0.7999999999999999,1,base,True,0.5,1.1605599347941741e-05,1,COMPLETE
61,0.3449654671028717,0.9422937113776809,2025-05-07 06:08:42.712608,2025-05-07 06:11:27.387327,0 days 00:02:44.674719,lamp,True,0.4,0.30000000000000004,5.6929893397598105e-05,0.9,,True,True,0.3,0.0,0.00533031029641211,5.640558728183893e-05,1.5146694580183068e-05,False,,0.00013463084756543147,False,0.7999999999999999,3,bnscale,True,0.0,1.4353004930508628e-05,1,COMPLETE
62,0.9390221737549983,0.5579789167575427,2025-05-07 06:11:27.409791,2025-05-07 06:14:01.513669,0 days 00:02:34.103878,group,False,0.6,0.8,0.000376659791826702,0.8,layer,False,True,0.1,0.05,0.012616356983563571,0.00026201051020526174,0.0017015007598818524,False,,0.36338111775616394,False,0.7999999999999999,2,bnscale,False,,0.6110653928487192,1,COMPLETE
63,0.9402944383860414,0.6328607778989458,2025-05-07 06:14:01.536291,2025-05-07 06:16:42.086142,0 days 00:02:40.549851,lamp,False,,0.9,1.3314801019875387e-05,0.9,,,True,0.1,0.4,8.809402524290832e-05,0.005231208962424493,0.005170306914193728,False,,0.0003433856895856245,True,0.7,1,bnscale,False,,0.05794089874786731,1,COMPLETE
64,0.89340239912759,0.9448382406397674,2025-05-07 06:16:42.106857,2025-05-07 06:19:06.154380,0 days 00:02:24.047523,fpgm,False,,0.1,0.009421821292822803,0.8,,,True,0.25,0.4,0.06945484987191826,0.0025560451306477785,0.002113070152341859,True,0.15000000000000002,0.0009008047955630662,True,0.7999999999999999,1,bnscale,False,,1.796000212070025e-05,1,COMPLETE
65,0.9418393311523082,0.926026899309342,2025-05-07 06:19:06.177706,2025-05-07 06:21:53.574181,0 days 00:02:47.396475,group,False,0.6,0.5,2.7403047286914024e-05,0.8,layer,True,True,0.25,0.15000000000000002,0.0003448133517242703,0.00024079198516801647,0.0003624020793268723,False,,0.000527703660400242,False,0.8999999999999999,1,base,True,0.45,0.0457564572294909,1,COMPLETE
66,0.29716466739367503,0.9398400581606688,2025-05-07 06:21:53.598773,2025-05-07 06:24:18.641178,0 days 00:02:25.042405,lamp,False,0.35,0.4,0.0005314248900894629,0.9,,False,True,0.15000000000000002,0.05,0.009682404766704277,1.620672856977081e-05,0.0003904291968684268,True,0.05,0.7554608738310938,False,0.8999999999999999,1,group,False,,0.000777337323058955,1,COMPLETE
67,0.957379134860051,0.9424754634678298,2025-05-07 06:24:18.664387,2025-05-07 06:27:33.177342,0 days 00:03:14.512955,group,False,0.4,0.5,0.007393784255397785,0.9,,True,True,0.2,0.25,3.758515137790037e-05,0.003933912165571096,4.6502532181230504e-05,True,0.15000000000000002,3.0033189816488443e-05,False,0.7,2,bnscale,True,0.05,0.000355916453735084,1,COMPLETE
68,0.9580152671755725,0.9429298436932024,2025-05-07 06:27:33.201847,2025-05-07 06:30:17.612924,0 days 00:02:44.411077,lamp,True,,0.5,0.0013025699731041044,0.9,,,True,0.05,0.25,0.0005945446686144185,1.620672856977081e-05,1.0427282863157648e-05,False,,0.08890827885303305,True,0.7999999999999999,1,group,False,,0.0006467629165880778,1,COMPLETE
