number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
29,0.18540305,16.99093885,08:51.4,09:43.0,0 days 00:00:51.570375,,,0.5,0.25,6,0.99,,FALSE,FALSE,0.25,,0,FALSE,,,,,,,,,FALSE,,0,COMPLETE
61,0.18540305,17.25904265,41:11.8,42:04.2,0 days 00:00:52.384264,,,0.15,0.85,6,0.99,,FALSE,FALSE,0.15,,0,FALSE,,,,,,,,,TRUE,0.45,1,COMPLETE
77,0.185185185,18.32654451,57:06.1,58:01.7,0 days 00:00:55.601586,,,0.15,0.2,6,0.99,,FALSE,FALSE,0.3,,4,FALSE,,,,,,,,,TRUE,0.15,1,COMPLETE
78,0.185185185,17.28158784,58:01.8,58:54.2,0 days 00:00:52.462879,,,0.4,0.85,6,0.99,,FALSE,FALSE,0.25,,3,FALSE,,,,,,,,,TRUE,0.25,1,COMPLETE
2,0.18496732,18.41770688,27:00.0,27:55.9,0 days 00:00:55.846388,,,0.5,0.4,6,0.99,,FALSE,FALSE,0.1,,1,FALSE,,,,,,,,,TRUE,0.25,0,COMPLETE
73,0.148583878,17.75336643,53:21.5,54:15.4,0 days 00:00:53.882259,,,0.35,0.2,6,0.9,,TRUE,FALSE,0.3,,1,FALSE,,,,,,,,,FALSE,,1,COMPLETE
90,0.148583878,18.21517216,09:33.3,10:28.5,0 days 00:00:55.247708,,,0.8,0.6,6,0.9,,TRUE,FALSE,0.3,,2,FALSE,,,,,,,,,FALSE,,1,COMPLETE
24,0.106100218,20.23915094,03:46.4,04:47.8,0 days 00:01:01.428023,group,FALSE,0.35,0.75,5,0.995,,FALSE,FALSE,0.1,,0,TRUE,3,TRUE,0.3,5,FALSE,0.7,3,bnscale,TRUE,0.35,0,COMPLETE
20,,,44:34.4,44:49.7,0 days 00:00:15.240687,group,FALSE,0.1,0.45,6,0.995,layer,TRUE,FALSE,0,,3,TRUE,3,TRUE,0.2,0,FALSE,0.75,4,base,FALSE,,0,FAIL
101,,,19:22.7,19:22.8,0 days 00:00:00.052845,,,,,,,,,,,,,,,,,,,,,,,,2,FAIL
