number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
28,0.5773333333333333,2025-05-22 09:26:18.278550,2025-05-22 09:26:57.998889,0 days 00:00:39.720339,0.9,0.19618719050242409,COMPLETE
73,0.577,2025-05-22 09:55:52.727317,2025-05-22 09:56:35.271250,0 days 00:00:42.543933,0.65,0.20767276027009873,COMPLETE
76,0.577,2025-05-22 09:57:57.450768,2025-05-22 09:58:36.502742,0 days 00:00:39.051974,0.55,0.017003535766791346,COMPLETE
41,0.5766666666666667,2025-05-22 09:34:58.355344,2025-05-22 09:35:38.576854,0 days 00:00:40.221510,0.6,0.0007333885069779043,COMPLETE
64,0.5763333333333333,2025-05-22 09:50:05.054598,2025-05-22 09:50:45.423433,0 days 00:00:40.368835,0.8,0.3229274767841931,COMPLETE
39,0.5760000000000001,2025-05-22 09:33:38.309224,2025-05-22 09:34:18.344056,0 days 00:00:40.034832,0.65,0.01382252096650514,COMPLETE
91,0.576,2025-05-22 10:07:52.219610,2025-05-22 10:08:28.637408,0 days 00:00:36.417798,0.55,0.06675584415656781,COMPLETE
51,0.576,2025-05-22 09:41:31.673605,2025-05-22 09:42:11.391819,0 days 00:00:39.718214,0.55,1.3994980488033233e-06,COMPLETE
66,0.5756666666666667,2025-05-22 09:51:21.701633,2025-05-22 09:52:00.780488,0 days 00:00:39.078855,0.65,0.017660582197693665,COMPLETE
80,0.5756666666666667,2025-05-22 10:00:38.996704,2025-05-22 10:01:16.440761,0 days 00:00:37.444057,0.7000000000000001,0.004143090858219516,COMPLETE
32,0.5753333333333334,2025-05-22 09:28:57.227793,2025-05-22 09:29:37.029883,0 days 00:00:39.802090,0.8,0.4007830929552835,COMPLETE
24,0.575,2025-05-22 09:23:36.214634,2025-05-22 09:24:14.427055,0 days 00:00:38.212421,0.6,0.053590094587544906,COMPLETE
84,0.5743333333333333,2025-05-22 10:03:14.597734,2025-05-22 10:03:54.872753,0 days 00:00:40.275019,0.45000000000000007,0.41704638259059806,COMPLETE
68,0.5736666666666667,2025-05-22 09:52:37.983342,2025-05-22 09:53:15.672431,0 days 00:00:37.689089,0.85,0.009990981228035805,COMPLETE
20,0.5730000000000001,2025-05-22 09:20:57.543252,2025-05-22 09:21:36.443810,0 days 00:00:38.900558,0.9,0.24849731598466085,COMPLETE
92,0.5726666666666667,2025-05-22 10:08:28.678019,2025-05-22 10:09:05.418985,0 days 00:00:36.740966,0.45000000000000007,0.1023171974900276,COMPLETE
85,0.5726666666666667,2025-05-22 10:03:54.914866,2025-05-22 10:04:31.979435,0 days 00:00:37.064569,0.5,0.15371685207701194,COMPLETE
22,0.5726666666666667,2025-05-22 09:22:18.596009,2025-05-22 09:22:59.128941,0 days 00:00:40.532932,0.55,0.03137546728377406,COMPLETE
26,0.5726666666666667,2025-05-22 09:24:57.567026,2025-05-22 09:25:37.957440,0 days 00:00:40.390414,0.7000000000000001,0.0018206318621155975,COMPLETE
89,0.5723333333333334,2025-05-22 10:06:31.389896,2025-05-22 10:07:13.324356,0 days 00:00:41.934460,0.65,0.013276968263172458,COMPLETE
45,0.5723333333333332,2025-05-22 09:37:34.274546,2025-05-22 09:38:14.216808,0 days 00:00:39.942262,0.5,0.05737807462220966,COMPLETE
8,0.5723333333333332,2025-05-22 09:13:05.256121,2025-05-22 09:13:45.355822,0 days 00:00:40.099701,0.55,0.011438722030039416,COMPLETE
81,0.572,2025-05-22 10:01:16.479941,2025-05-22 10:01:54.975007,0 days 00:00:38.495066,0.65,0.02424354434397844,COMPLETE
31,0.572,2025-05-22 09:28:17.951735,2025-05-22 09:28:57.187313,0 days 00:00:39.235578,0.8,0.08757436059815768,COMPLETE
2,0.5716666666666667,2025-05-22 09:09:09.119366,2025-05-22 09:09:46.243592,0 days 00:00:37.124226,0.45000000000000007,0.09122824450306803,COMPLETE
47,0.5716666666666667,2025-05-22 09:38:54.619506,2025-05-22 09:39:36.942880,0 days 00:00:42.323374,0.7000000000000001,0.02313403153037585,COMPLETE
95,0.5713333333333334,2025-05-22 10:10:25.966671,2025-05-22 10:11:05.707755,0 days 00:00:39.741084,0.6,0.1837546253587417,COMPLETE
3,0.5710000000000001,2025-05-22 09:09:46.285950,2025-05-22 09:10:32.067368,0 days 00:00:45.781418,0.30000000000000004,0.08255176226101844,COMPLETE
75,0.5706666666666667,2025-05-22 09:57:17.643701,2025-05-22 09:57:57.407680,0 days 00:00:39.763979,0.7000000000000001,0.036872221721859104,COMPLETE
53,0.5706666666666665,2025-05-22 09:42:48.307021,2025-05-22 09:43:25.930377,0 days 00:00:37.623356,0.55,5.422868361553932e-06,COMPLETE
1,0.5703333333333334,2025-05-22 09:08:29.914808,2025-05-22 09:09:09.080218,0 days 00:00:39.165410,0.4,2.2354315377154496e-05,COMPLETE
