number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
87,0.419,10.97421552,51:05.3,51:39.0,0 days 00:00:33.637928,lamp,TRUE,,0.5,6,0.9,,,FALSE,0.2,,5,TRUE,2,TRUE,0.3,5,TRUE,0.6,4,group,FALSE,,1,COMPLETE
31,0.417,10.27000017,20:32.5,21:03.9,0 days 00:00:31.445106,,,0.7,0.3,2,0.9,,FALSE,TRUE,0.3,0.1,1,FALSE,,,,,,,,,TRUE,0.05,0,COMPLETE
77,0.415666667,10.52481607,45:38.3,46:10.6,0 days 00:00:32.300242,lamp,TRUE,,0.2,6,0.9,,,FALSE,0.2,,4,TRUE,3,TRUE,0.35,3,TRUE,0.75,2,group,TRUE,0.35,1,COMPLETE
61,0.410666667,10.60096283,36:52.5,37:25.0,0 days 00:00:32.511745,fpgm,TRUE,,0.8,6,0.99,,,TRUE,0.15,0.15,3,TRUE,2,TRUE,0.35,4,TRUE,0.75,3,bnscale,FALSE,,1,COMPLETE
51,0.406666667,10.87247986,31:28.1,32:01.4,0 days 00:00:33.345279,group,FALSE,0.75,0.55,2,0.99,,TRUE,TRUE,0.25,0.3,0,TRUE,4,FALSE,,3,FALSE,0.5,5,bnscale,FALSE,,1,COMPLETE
32,0.404,10.37025089,21:04.0,21:35.7,0 days 00:00:31.736846,,,0.15,0.35,2,0.9,,TRUE,TRUE,0,0.45,0,FALSE,,,,,,,,,TRUE,0.25,0,COMPLETE
24,0.399333333,10.65452923,16:42.2,17:14.7,0 days 00:00:32.575579,,,0.5,0.3,4,0.995,,TRUE,FALSE,0.3,,0,FALSE,,,,,,,,,TRUE,0,0,COMPLETE
63,0.399333333,10.26312303,37:58.4,38:29.8,0 days 00:00:31.438191,,,0.55,0.55,2,0.9,,FALSE,FALSE,0.1,,1,FALSE,,,,,,,,,TRUE,0.35,1,COMPLETE
14,0.396333333,10.48290192,11:16.9,11:49.1,0 days 00:00:32.212836,group,TRUE,0.6,0.15,6,0.99,,FALSE,TRUE,0.05,0.15,1,TRUE,5,FALSE,,0,FALSE,0.7,3,group,FALSE,,0,COMPLETE
62,0.394,10.85491771,37:25.1,37:58.4,0 days 00:00:33.286975,fpgm,TRUE,0.65,0.2,6,0.9,,TRUE,FALSE,0.2,,2,TRUE,5,FALSE,,1,FALSE,0.55,1,group,TRUE,0.5,1,COMPLETE
30,0.387,10.38766062,20:00.6,20:32.5,0 days 00:00:31.875573,group,FALSE,0.5,0.25,5,0.99,,FALSE,TRUE,0.25,0.1,2,TRUE,5,FALSE,,5,FALSE,0.55,1,base,FALSE,,0,COMPLETE
37,0.383333333,10.89000336,23:48.5,24:21.9,0 days 00:00:33.341852,fpgm,FALSE,,0.7,6,0.9,,,FALSE,0.3,,5,TRUE,3,FALSE,,1,TRUE,0.7,4,bnscale,TRUE,0.2,0,COMPLETE
56,0.365333333,10.64494853,34:10.4,34:43.1,0 days 00:00:32.639157,fpgm,TRUE,,0.15,6,0.9,,,TRUE,0.3,0.15,0,TRUE,2,FALSE,,4,TRUE,0.85,3,base,TRUE,0.05,1,COMPLETE
66,0.362333333,10.60976655,39:37.4,40:09.9,0 days 00:00:32.501583,group,TRUE,,0.75,6,0.99,,,FALSE,0.15,,5,TRUE,2,FALSE,,0,TRUE,0.85,2,bnscale,TRUE,0.05,1,COMPLETE
68,0.337,10.66506982,40:41.2,41:13.9,0 days 00:00:32.705343,lamp,FALSE,,0.7,6,0.99,,,TRUE,0.15,0.5,5,TRUE,2,FALSE,,3,TRUE,0.85,1,bnscale,FALSE,,1,COMPLETE
39,0.336666667,11.24030767,24:53.7,25:28.1,0 days 00:00:34.375757,fpgm,FALSE,,0.9,6,0.99,,,FALSE,0.25,,4,TRUE,5,TRUE,0.15,1,TRUE,0.5,1,group,FALSE,,0,COMPLETE
