2025-04-24 23:59:27 - sandbox - [INFO]: Test Logger Initialized!
2025-04-24 23:59:27 - sandbox - [ERROR]: Test Error Message!
2025-04-24 23:59:27 - sandbox - [WARNING]: Test Warning Message!
2025-04-25 00:00:53 - sandbox - [INFO]: Test Logger Initialized!
2025-04-25 00:00:53 - sandbox - [ERROR]: Test Error Message!
2025-04-25 00:00:53 - sandbox - [WARNING]: Test Warning Message!
2025-04-25 00:01:10 - sandbox - [INFO]: Test Logger Initialized!
2025-04-25 00:01:10 - sandbox - [ERROR]: Test Error Message!
2025-04-25 00:01:10 - sandbox - [WARNING]: Test Warning Message!
2025-04-25 00:01:12 - engine - [INFO]: Epoch: 01, Loss: nan, valLoss: nan, Train: 3.10%, Valid: 3.13%, Test: 3.42%, 
2025-04-25 00:04:09 - engine - [INFO]: Epoch: 420, Loss: 1.821, valLoss: 1.857, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:10 - engine - [INFO]: Epoch: 430, Loss: 1.821, valLoss: 1.856, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:10 - engine - [INFO]: Epoch: 440, Loss: 1.821, valLoss: 1.856, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:11 - engine - [INFO]: Epoch: 450, Loss: 1.819, valLoss: 1.855, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:11 - engine - [INFO]: Epoch: 460, Loss: 1.818, valLoss: 1.855, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:12 - engine - [INFO]: Epoch: 470, Loss: 1.817, valLoss: 1.854, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:12 - engine - [INFO]: Epoch: 480, Loss: 1.817, valLoss: 1.853, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:13 - engine - [INFO]: Epoch: 490, Loss: 1.815, valLoss: 1.853, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:13 - engine - [INFO]: Epoch: 500, Loss: 1.815, valLoss: 1.852, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:14 - engine - [INFO]: Epoch: 510, Loss: 1.814, valLoss: 1.851, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:14 - engine - [INFO]: Epoch: 520, Loss: 1.812, valLoss: 1.850, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:15 - engine - [INFO]: Epoch: 530, Loss: 1.811, valLoss: 1.848, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:15 - engine - [INFO]: Epoch: 540, Loss: 1.808, valLoss: 1.846, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:16 - engine - [INFO]: Epoch: 550, Loss: 1.806, valLoss: 1.844, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:16 - engine - [INFO]: Epoch: 560, Loss: 1.805, valLoss: 1.842, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:16 - engine - [INFO]: Epoch: 570, Loss: 1.803, valLoss: 1.839, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:17 - engine - [INFO]: Epoch: 580, Loss: 1.797, valLoss: 1.835, Train: 37.61%, Valid: 36.18%, Test: 38.53%, 
2025-04-25 00:04:17 - engine - [INFO]: Epoch: 590, Loss: 1.792, valLoss: 1.830, Train: 37.69%, Valid: 36.18%, Test: 38.50%, 
2025-04-25 00:04:18 - engine - [INFO]: Epoch: 600, Loss: 1.789, valLoss: 1.824, Train: 37.62%, Valid: 36.18%, Test: 38.46%, 
2025-04-25 00:04:18 - engine - [INFO]: Epoch: 601, Loss: 1.786, valLoss: 1.823, Train: 37.68%, Valid: 36.22%, Test: 38.46%, 
2025-04-25 00:04:18 - engine - [INFO]: Epoch: 605, Loss: 1.784, valLoss: 1.820, Train: 38.02%, Valid: 36.29%, Test: 38.71%, 
2025-04-25 00:04:18 - engine - [INFO]: Epoch: 606, Loss: 1.784, valLoss: 1.820, Train: 38.23%, Valid: 36.51%, Test: 38.93%, 
2025-04-25 00:04:18 - engine - [INFO]: Epoch: 607, Loss: 1.784, valLoss: 1.819, Train: 38.30%, Valid: 36.84%, Test: 38.97%, 
2025-04-25 00:04:19 - engine - [INFO]: Epoch: 610, Loss: 1.778, valLoss: 1.816, Train: 38.02%, Valid: 36.29%, Test: 38.64%, 
2025-04-25 00:04:19 - engine - [INFO]: Epoch: 612, Loss: 1.778, valLoss: 1.814, Train: 38.65%, Valid: 36.87%, Test: 39.44%, 
2025-04-25 00:04:19 - engine - [INFO]: Epoch: 616, Loss: 1.773, valLoss: 1.810, Train: 38.58%, Valid: 36.98%, Test: 39.29%, 
2025-04-25 00:04:19 - engine - [INFO]: Epoch: 617, Loss: 1.770, valLoss: 1.809, Train: 39.05%, Valid: 37.31%, Test: 39.80%, 
2025-04-25 00:04:19 - engine - [INFO]: Epoch: 618, Loss: 1.773, valLoss: 1.808, Train: 39.22%, Valid: 37.38%, Test: 39.99%, 
2025-04-25 00:04:19 - engine - [INFO]: Epoch: 620, Loss: 1.771, valLoss: 1.806, Train: 38.66%, Valid: 36.87%, Test: 39.44%, 
2025-04-25 00:04:20 - engine - [INFO]: Epoch: 623, Loss: 1.767, valLoss: 1.802, Train: 39.34%, Valid: 37.64%, Test: 40.13%, 
